use,year_built,heated_sqft,site_address,city,zip,owner,owner_addr1,owner_addr2,owner_addr3,assessed_value,pin
OFC GROSS,1987,16097.0,8822 KNIGHTDALE BLVD,,27545,CAROLYNN PROPERTIES LLC ,933 THREE SISTERS RD,KNIGHTDALE NC 27545-7262,,2770843,1764750977
FLEX WHSE,1995,16020.0,2724 DISCOVERY DR,RALEIGH,27616,"STITT, RICHARD C STITT, BETH J",1309 KINGS GRANT DR,RALEIGH NC 27614-9357,,2683477,1726089718
FLEX WHSE,1975,16000.0,4425 BERYL RD,RALEIGH,27606,PYLON INC ,501 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2357322,0784847201
FLEX WHSE,1983,16000.0,5024 DEPARTURE DR,RALEIGH,27616,"ROSS, DENNIS W ROSS, SARAH P",310 W 4TH ST APT 1702,WINSTON SALEM NC 27101-2942,,1947690,1726041861
FLEX WHSE,1987,16000.0,5805 DEPARTURE DR,RALEIGH,27616,CONTECH PROPERTIES ,PO BOX 12491,RALEIGH NC 27605-2491,,2163221,1726190273
FLEX WHSE,1981,16000.0,1801 ST ALBANS DR,RALEIGH,27609,WTC HOLDING LLC ,5112 HEDDON WAY,GREENSBORO NC 27455-3432,,1747656,1715589836
FLEX WHSE,2000,15992.0,4817 HARGROVE RD,RALEIGH,27616,TRAC LIMITED PARTNERSHIP ,PO BOX 1098,WRIGHTSVILLE BEACH NC 28480-1098,,3060994,1726065028
CHURCH,1991,15985.0,6501 FOX RD,RALEIGH,27616,CHRIST COVENANT CHURCH OF RALEIGH ,6501 FOX RD,RALEIGH NC 27616-5503,,4149645,1727917331
MED OFC GROSS,2005,15964.0,11001 DURANT RD,RALEIGH,27614,HR NORTH CAROLINA LLC ,3310 W END AVE STE 700,NASHVILLE TN 37203-1097,,4213735,1718859262
OFC GROSS,1998,15960.0,310 N JUDD PKWY NE,FUQUAY-VARINA,27526,WALL TO WALL HOLDINGS LLC ,PO BOX 546,FUQUAY VARINA NC 27526-0190,,2200505,0666582953
OFC GROSS,1999,15952.0,3909 SUNSET RIDGE RD,RALEIGH,27607,"HTA-SUNSET RIDGE ONE, LLC ",3310 W END AVE STE 700,NASHVILLE TN 37203-1097,,3023900,0785609736
CHURCH,1990,15944.0,9725 FAYETTEVILLE RD,FUQUAY-VARINA,27603,CORNERSTONE FAMILY CHURCH INTERNATIONAL ,PO BOX 357,FUQUAY VARINA NC 27526-0169,,3904547,0688577356
FLEX WHSE,1978,15941.0,303 E DURHAM RD,CARY,27513,ADAMS RENTALS OF CARY LLC ,611 RALPH DR,CARY NC 27511-4048,,1666338,0764624854
CHURCH,1986,15910.0,1811 SEABROOK AVE,CARY,27511,CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,TAX ADM DIV 526-8028,50 E NORTH TEMPLE RM 2225,SALT LAKE CITY UT 84150-0022,3782673,0762793447
FLEX WHSE,1985,15900.0,3812 TARHEEL DR,RALEIGH,27609,"METTREY, JAMES P ",4910 LEAD MINE RD,RALEIGH NC 27612-5813,,1535624,1715683211
CHURCH,1982,15859.0,1705 CURTIS DR,RALEIGH,27610,DELIVERANCE CTR CHURCH INC ,P O BOX G,RALEIGH NC 27614,,1969014,1713509444
CHURCH,1990,15825.0,8849 RAY RD,RALEIGH,27613,VESTRY OF THE CHURCH OF THE NATIVITY ,8849 RAY RD,RALEIGH NC 27613-1232,,4441868,0788730855
MED OFC GROSS,2002,15814.0,3401 CARL SANDBURG CT,RALEIGH,27610,"SANDERS, EVELYN ",3401 CARL SANDBURG CT,RALEIGH NC 27610-2049,,3596450,1723495494
RESEARCH,1996,15784.0,4000 CHI RD,,27603,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,14591935,0792623188
CHURCH,2003,15780.0,409 SHEPARD SCHOOL RD,ZEBULON,27597,ZEBULON BAPTIST CHURCH ,PO BOX 216,ZEBULON NC 27597-0216,,4237173,2705364198
CHURCH,1999,15776.0,1601 MARTIN LUTHER KING JR BLVD,RALEIGH,27610,MOUNT PEACE BAPTIST CHURCH ,1601 MARTIN LUTHER KING JR BLVD,RALEIGH NC 27610-3467,,9109606,1713456929
SCHOOL,1979,15769.0,7400 FALLS OF NEUSE RD,RALEIGH,27615,CONGREGATION SHA AREI ISRAEL INC ,7400 FALLS OF NEUSE RD,RALEIGH NC 27615-5315,,2728944,1717076439
FIRE STA,2004,15764.0,7045 STONY HILL RD,,27587,WAKE COUNTY ,WAKE COUNTY ATTORNEY'S OFFICE,PO BOX 550,RALEIGH NC 27602-0550,3811226,1811534340
FLEX WHSE,1997,15750.0,7424 ACC BLVD,RALEIGH,27617,GWC/ACC BOULEVARD LLC ,C/O ATLANTIC INVESTMENT MANAGEMENT,4104 ATLANTIC AVE STE 140,RALEIGH NC 27604-1803,2151389,0768960639
FLEX WHSE,1984,15744.0,5840 MCHINES PL,RALEIGH,27616,CAAM HOLDINGS LLC ,700 PARK CENTRE DR,KERNERSVILLE NC 27284-3533,,2034792,1726082096
FLEX WHSE,2001,15743.0,251 TOWERVIEW CT,CARY,27513,BAC RENTAL PROPERTIES LLC ,302 FERN VALLEY LN,APEX NC 27523-9211,,3167482,0754568739
FIRE STA,2005,15728.0,700 FLINT POINT LN,HOLLY SPRINGS,27540,HOLLY SPRINGS TOWN OF ,TOWN ATTORNEY,PO BOX 8,HOLLY SPRINGS NC 27540-0008,3155046,0659333862
OFC GROSS,1997,15722.0,1621 MIDTOWN PL,RALEIGH,27609,STATE EMPLOYEES ASSOC OF NC INC ,1621 MIDTOWN PL,RALEIGH NC 27609-7553,,3947789,1715575623
OFC GROSS,1983,15720.0,1903 N HARRISON AVE,CARY,27513,HARRISON CARY OFFICE LLC ,POER CRE-ATLANTA,PO BOX 250509,ATLANTA GA 30325-1509,1725528,0765974529
MULT TEN,1977,15634.0,2731 CAPITAL BLVD,RALEIGH,27604,"MARCONE, RACHEL MARIA W TRUSTEE OF THE KENNETH M WATKINS RVCBLE LVNG TRUST",1120 CALISTA DR,WAKE FOREST NC 27587-1856,,2471653,1715822547
OFC GROSS,1975,15627.0,6901 PINECREST RD,RALEIGH,27613,GIRL SCOUT COUNCIL OF COASTAL CAROLINA  INC ,PO BOX 91469,RALEIGH NC 27675-1469,,3091031,0787035385
MULT TEN,2005,15608.0,1881 LAKE PINE DR,CARY,27511,BROOKFIELD PROPERTIES LLC ,PO BOX 17102,RALEIGH NC 27619-7102,,4259818,0752367108
OFC GROSS,1983,15606.0,1901 N HARRISON AVE,CARY,27513,HARRISON CARY OFFICE LLC ,POER CRE-ATLANTA,PO BOX 250509,ATLANTA GA 30325-1509,1718679,0765972459
FLEX WHSE,1984,15606.0,1608 NORTH MARKET DR,RALEIGH,27609,MW NORTH MARKET LLC ,403 E SIX FORKS RD,RALEIGH NC 27609-7829,,2136925,1716517038
OFC GROSS,1998,15580.0,140 PRESTON EXECUTIVE DR,CARY,27513,"HSE PROPERTIES-140 PRESTON, LLC EDWARDS, J MICHAEL",1321 EMPLY NEST WAY,APEX NC 27502-9300,,2970824,0754028906
CHURCH,1984,15575.0,300 JONES ST,ZEBULON,27597,CHURCH OF JESUS CHRIST OF LATTER-DAY ,TAX ADM DIV 521-6575,50 E NORTH TEMPLE RM 2225,SALT LAKE CITY UT 84150-0022,3494404,2706009923
CHURCH,1988,15484.0,7215 E SIX FORKS RD,RALEIGH,27615,BETHLEHEM BAPTIST CHURCH ,ATTN ALICE MOORE-FOWLER,7215 SIX FORKS RD,RALEIGH NC 27615-6160,1866583,1707448929
OFC GROSS,1978,15472.0,3008 ANDERSON DR,RALEIGH,27609,DOUGLAS M HOBBS LLC ,343 E SIX FORKS RD STE 300,RALEIGH NC 27609-7888,,1761075,1705848228
CHURCH,1987,15432.0,1228 WILBON RD,FUQUAY-VARINA,27526,BAZZEL CREEK MISSIONARY BAPTIST CHURCH ,PO BOX 1295,FUQUAY VARINA NC 27526-1249,,2966226,0657021736
OFC GROSS,2001,15384.0,140 CENTREWEST CT,CARY,27513,BOYD CARY GSA II LLC ,CBRE RICHMOND,6641 W BROAD ST STE 101,RICHMOND VA 23230-1728,3107331,0755736210
MULT TEN,2005,15370.0,2101 S MAIN ST,WAKE FOREST,27587,CAPITAL MAIN PROPERTIES LLC ,303 OXCROFT ST,CARY NC 27519-7393,,3435351,1830801384
OFC GROSS,2001,15365.0,2860 SLATER RD,MORRISVILLE,27560,SULLIVAN SOUTHERN INVESTMENTS LLC ,2860 SLATER RD STE C,MORRISVILLE NC 27560-6413,,3037294,0756295373
DAY CARE,2005,15346.0,6010 MCCRIMMON PKWY,MORRISVILLE,27560,FREEPORT MORRISVILLE XII LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,4965333,0746404262
MULT TEN,1984,15300.0,4400 CRAFTSMAN DR,RALEIGH,27609,V J INVESTMENTS LLC ,4410 CRAFTSMAN DR,RALEIGH NC 27609-6297,,1817770,1716606683
MUNC BLD,1987,15298.0,401 OLD HONEYCUTT RD,FUQUAY-VARINA,27526,FUQUAY VARINA TOWN OF ,134 N MAIN ST,FUQUAY VARINA NC 27526-1934,,5632670,0666598593
FLEX WHSE,1994,15296.0,1101 AVIATION PKWY,MORRISVILLE,27560,AVIATION PARKWAY ASSOCIATES LLC ,117 DUNCANSBY CT,CARY NC 27511-6403,,2974389,0756603862
OFC GROSS,1992,15288.0,101 ROSCOE TRL,CARY,27607,NORTH CAROLINA STATE OF ,STATE PROPERTY OFFICE,116 W JONES ST,RALEIGH NC 27603-1335,7548269,0775621438
SNGL TEN,2001,15258.0,205 TRYON RD,RALEIGH,27603,SALVATION ARMY THE ,PO BOX 27584,RALEIGH NC 27611-7584,,4426262,1702512107
OFC GROSS,1976,15216.0,4904 WATERS EDGE DR,RALEIGH,27606,R3D INVESTMENTS LLC ,1320 LEGENDARY LN,MORRISVILLE NC 27560-7104,,1533592,0783268961
ST/OFC/A,1985,15208.0,3116 HILLSBOROUGH ST,RALEIGH,27607,NC 3116 HILLSBOROUGH LLC ,VISTA PROPERTY GROUP HYMIE MISHAM,200 PARK AVE S STE 915,NEW YORK NY 10003-1509,4315300,0794524716
SNGL TEN,1996,15188.0,2041 WALNUT ST,CARY,27518,ROCKET WASH EXPRESS REAL ESTATE CARY CROSSROADS LL ,3723 BENSON DR,RALEIGH NC 27609-7324,,5259237,0773608579
GYM,1986,15170.0,1001 COOPER RD,RALEIGH,27610,RALEIGH CITY OF ,PO BOX 590,RALEIGH NC 27602-0590,,7514190,1723320892
FLEX WHSE,2000,15168.0,1812 TILLERY PL,RALEIGH,27604,PAUL A TILLERY COMMERCIAL RENTALS ,PO BOX 6308,RALEIGH NC 27628-6308,,2807172,1714281088
STOR/OFC,2002,15164.0,8450 CHAPEL HILL RD,CARY,27513,TRIANGLE REAL ESTATE CO ,113 DUNCANSBY CT,CARY NC 27511-6403,,3340275,0764530174
MULT TEN,1986,15158.0,1140 BENSON RD,GARNER,27529,TIMBER CROSSING OFFICE BUILDING INC ,4800 OAKWEALTH DR,FUQUAY VARINA NC 27526-6861,,1662647,1710671569
MED OFC GROSS,2003,15153.0,1921 FALLS VALLEY DR,RALEIGH,27615,MMPF III RALEIGH NC LLC ,MONTECITO MEDICAL REAL ESTATE,3807 CLEGBORN AVE STE 903,NASHVILLE TN 37215,4036902,1718624041
OFC GROSS,1986,15150.0,800 S SALISBURY ST,RALEIGH,27601,GREATER RALEIGH CHAMBER OF COMMERCE ,JIM WHITE,800 S SALISBURY ST,RALEIGH NC 27601-2202,15019727,1703655502
MULT TEN,2001,15143.0,1065 DARRINGTON DR,CARY,27513,DARRINGTON PRESTON LLC ,127 TRELLINGWOOD DR,MORRISVILLE NC 27560-7034,,3845572,0754456828
SNGL TEN,2001,15120.0,4241 LOUISBURG RD,RALEIGH,27604,EXCHANGERIGHT NET-LEASED ALL-CASH 15 DST ,9215 NORTHPARK DR,JOHNSTON IA 50131-2933,,2835789,1726513851
MULT TEN,1997,15110.0,600 S MAIN ST,ROLESVILLE,27571,GRAND PARK PROPERTIES LLC ,2636 WAIT AVE,WAKE FOREST NC 27587-6808,,2567809,1758571481
SCHOOL,2000,15072.0,3404 DAVIS DR,CARY,27519,HATCHER GROVE MISSIONARY BAPTIST CHURCH,PO BOX 232,MORRISVILLE NC 27560-0232,,3433823,0745514263
OFC GROSS,1987,15004.0,223 US 70 HWY E,GARNER,27529,H & L PROPERTIES INC ,PO BOX 1309,GARNER NC 27529-1309,,2145541,1711806862
FLEX WHSE,1986,15000.0,6216 ANGUS DR,RALEIGH,27617,KPM VENTURES LLC ,7108 SHADY GLEN LN,WAKE FOREST NC 27587-5489,,1837460,0778225421
SNGL TEN,1985,15000.0,1681 NORTH MARKET DR,RALEIGH,27609,GOODWILL INDUSTRIES OF EASTERN NORTH CAROLINA INC ,4721 EMPEROR BLVD STE 260,DURHAM NC 27703-7664,,1362499,1716602919
OFC GROSS,1980,15000.0,315 N ACADEMY ST,CARY,27513,NORTH ACADEMY ASSOCIATES LLC ,113 DUNCANSBY CT,CARY NC 27511-6403,,2402020,0764427307
OFC GROSS,1988,14968.0,800 LUFKIN RD,APEX,27539,EASTERN SERVICES HOLDINGS LLC ,RALEIGH PAVING,800 LUFKIN RD,APEX NC 27539-7050,2098858,0741933676
GYM,2003,14938.0,100 CHURCH ST,ROLESVILLE,27571,ROLESVILLE BAPTIST CHURCH INC ,PO BOX 185,ROLESVILLE NC 27571-0185,,1881977,1769118359
MULT TEN,2005,14935.0,5925 GLENWOOD AVE,RALEIGH,27612,JDV COMMERCIAL LLC ,JAMES VICENTE,5925 GLENWOOD AVE STE 100,RALEIGH NC 27612-6223,4414123,0786950692
CHURCH,1980,14929.0,1309 N ARENDELL AVE,ZEBULON,27597,LNP INC ,PARRISH REALTY C/O RENEE BAKER,PO BOX 1128,ZEBULON NC 27597-1128,1371360,2706000607
OFC GROSS,1998,14926.0,8025 CREEDMOOR RD,RALEIGH,27613,PM CREEDMOOR ROAD LLC ,PO BOX 33066,RALEIGH NC 27636-3066,,2215147,0798414663
DAY CARE,2005,14915.0,6560 TRYON RD,CARY,27518,PARKWAY HOLDINGS LLC ,H KAZAZIAN,106 BADIN LAKE CT,CARY NC 27519-9552,3927363,0762957837
FLEX WHSE,1994,14892.0,5504 COMMERCIAL AVE,RALEIGH,27612,"WOODS HOLDING, LLC ",14223 WYNDFIELD CIR,RALEIGH NC 27615-1318,,2861111,0786675109
FLEX WHSE,1996,14850.0,633 HUTTON ST,RALEIGH,27606,PYLON INC ,201 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2761803,0784728511
MULT TEN,1989,14843.0,311 ASHVILLE AVE,CARY,27518,ASHLEY PROPERTIES LLC ,INCOME PROPERTIES OF RALEIGH INC,1049 DRESSER CT,RALEIGH NC 27609-7323,3883517,0762338680
OFC GROSS,1986,14832.0,200 MACKENAN DR,CARY,27511,MID-SOUTH ENGINEERING CO ,1658 MALVERN AVE,HOT SPRINGS AR 71901-7138,,2667359,0752711224
DAY CARE,2001,14806.0,2700 WAKEFIELD PINES DR,RALEIGH,27614,PRESCHOOL ENTERPRISES LLC ,4915 WATERS EDGE DR STE 255,RALEIGH NC 27606-3370,,3841750,1729987709
OFC GROSS,2001,14795.0,4105 POOLE RD,RALEIGH,27610,AJINOMOTO NORTH AMERICA INC ,4020 AJINOMOTO DR,RALEIGH NC 27610-2911,,2034138,1723854087
FLEX WHSE,1995,14742.0,2535 ATLANTIC AVE,RALEIGH,27604,HOTH PLANETARY HOLDINGS LLC ,PO BOX 4311,PHILADELPHIA PA 19118-8311,,2746667,1715325530
FLEX WHSE,1988,14742.0,617 HUTTON ST,RALEIGH,27606,PYLON INC ,501 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2725672,0784825962
MULT TEN,2005,14734.0,7990 ARCO CORPORATE DR,RALEIGH,27617,"SERVICE RETAIL BUILDINGS, LLC ",AMERICAN ASSET CORPORATION,5950 FAIRVIEW RD STE 800,CHARLOTTE NC 28210-3194,5111198,0768557740
SNGL TEN,2005,14724.0,1002 N HARRISON AVE,CARY,27513,JORDAN FAMILY PROPERTIES LLC ,WALGREENS CO,PO BOX 1159,DEERFIELD IL 60015-6002,4394539,0764475362
OFC GROSS,1995,14720.0,200 COMMONWEALTH CT,CARY,27511,WILLIAMS DEVELOPMENT GROUP LLC ,331 HIGH ST,WINSTON SALEM NC 27101-5234,,2118500,0763346203
OFC GROSS,2004,14710.0,4900 LEIGH DR,RALEIGH,27616,CAPITAL LEIGH DRIVE PROPERTY LLC ,4900 LEIGH DR,RALEIGH NC 27616-2804,,2086232,1726352139
CHURCH,1999,14700.0,5600 FOX RD,RALEIGH,27616,BODY OF CHRIST CHURCH INC ,4501 SPRING FOREST RD,RALEIGH NC 27616-5329,,3169296,1726876020
CHURCH,1988,14699.0,505 REEDY CREEK RD,CARY,27513,HARVEST CHURCH CARY ,505 REEDY CREEK RD,CARY NC 27513-4117,,3250452,0764847214
CHURCH,1984,14682.0,1433 AVERSBORO RD,GARNER,27529,BISHOP OF THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS,TAX ADM DIV 520-4704,50 E NORTH TEMPLE RM 2225,SALT LAKE CITY UT 84150-0022,2698931,1710470178
CHURCH,1989,14676.0,1364 BENSON RD,GARNER,27529,GARNER CHURCH OF CHRIST ,118 PARK AVE,FUQUAY VARINA NC 27526-2039,,3221274,1710668007
VET CLIN,2000,14618.0,1007 TANDAL PL,KNIGHTDALE,27545,ROWDY RIDGEBACKS HOLDINGS LLC ,4935 RALEIGH ROAD PKWY W,WILSON NC 27896-9701,,3506013,1744532798
SCHOOL,1976,14600.0,5605 SPRING CT,RALEIGH,27616,ST THOMAS MORE ACADEMY INC ,4641 PARAGON PARK RD,RALEIGH NC 27616-3406,,2256832,1726164892
CHURCH,1975,14597.0,2301 W MILLBROOK RD,RALEIGH,27612,CHURCH OF THE HOLY CROSS (ANGLICAN) INC,2301 W MILLBROOK RD,RALEIGH NC 27612-2295,,2924954,0796388203
FLEX WHSE,1994,14560.0,628 HUTTON ST,RALEIGH,27606,PYLON INC ,501 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2733002,0784821816
SNGL TEN,1991,14524.0,6808 DAVIS CIR,RALEIGH,27613,HARRISPARK PROPERTIES INC ,608 GASTON ST STE 200,RALEIGH NC 27603-1258,,2412032,0786693009
OFC GROSS,1994,14524.0,600 GERMANTOWN RD,RALEIGH,27607,GERMANTOWN LLC ,4141 BIENVILLE ST STE 100,NEW ORLEANS LA 70119-5198,,2085294,0774913723
OFC GROSS,1995,14522.0,320 N JUDD PKWY NE,FUQUAY-VARINA,27526,FUQUAY FIRST LLC ,BALL & MINOR CPA PA,1001 PROCURE ST STE 101,FUQUAY VARINA NC 27526-2697,2017692,0666593121
FLEX WHSE,1997,14496.0,2004 S MAIN ST,WAKE FOREST,27587,DWB RENTALS LLC ,1001 PROCURE ST STE 1011,FUQUAY VARINA NC 27526-2696,,2393099,1830804928
OFC GROSS,1984,14419.0,1008 BULLARD CT,RALEIGH,27615,HAVEN HOUSE INC ,600 W CABARRUS ST,RALEIGH NC 27603-9800,,1539131,1717218539
DAY CARE,1999,14415.0,150 TOWNE VILLAGE DR,CARY,27513,FREEPORT CARY XI LLC ,FLANAGAN BILTON  ATT: SPERO KOPITAS,1 N LA SALLE ST STE 2100,CHICAGO IL 60602-3918,4296377,0743796821
MULT TEN,2002,14400.0,1148 N MAIN ST,FUQUAY-VARINA,27526,BLALOCK PROPERTIES OF WAKE COUNTY LLC ,6741 ROCK SERVICE STATION RD,RALEIGH NC 27603-9399,,4373775,0667406211
CHURCH,2001,14400.0,6600 HALLELUJAH BLVD,WENDELL,27591,TRINITY FAITH FULL GOSPEL CHURCH ,PO BOX 340,WENDELL NC 27591-0340,,4543746,1775713853
OFC GROSS,1980,14400.0,1627 NAVAHO DR,RALEIGH,27609,1627 LEASING LLC ,PO BOX 1815,GOLDSBORO NC 27533-1815,,1553813,1715449412
MUNC BLD,1980,14345.0,221 N BROOKS ST,WAKE FOREST,27587,WAKE FOREST TOWN OF ,301 BROOKS ST,WAKE FOREST NC 27587-2901,,4249995,1841507602
OFC GROSS,1998,14344.0,343 S WHITE ST,WAKE FOREST,27587,"WARREN, CAROL A WARREN, JAMES S",5532 OLD STILL RD,WAKE FOREST NC 27587-9768,,2073909,1841409550
SCHOOL,1992,14341.0,9001 WESTON PKWY,CARY,27513,LUCY DANIELS CENTER FOR EARLY CHILDHOOD ,DR DONALD ROSENBLITT,9001 WESTON PKWY,CARY NC 27513-2201,4879551,0765063655
OFC GROSS,1996,14336.0,4641 PARAGON PARK RD,RALEIGH,27616,CAS PARAGON LLC ,4641 PARAGON PARK RD,RALEIGH NC 27616-3406,,2310253,1737082824
DAY CARE,1999,14325.0,800 WESTON PKWY,CARY,27513,BRIGHT HORIZONS CHILDREN'S CNTR INC ,PO BOX 9177,WATERTOWN MA 02471-9177,,3880267,0765773027
MULT TEN,2002,14300.0,6715 HILLSBOROUGH ST,RALEIGH,27606,BHOLE LLC ,PO BOX 3582,CARY NC 27519-3582,,3426483,0774519940
OFC GROSS,1991,14286.0,224 SUNNYBROOK RD,RALEIGH,27610,ALICE AYCOCK POE CENTER FOR HEALTH EDUCATION (NAME CHANGE),224 SUNNYBROOK RD,RALEIGH NC 27610-1830,,2380921,1723384854
CHURCH,1990,14270.0,2100 BUFFALOE RD,GARNER,27529,LORD OF LIFE LUTHERN CHURCH ,2100 BUFFALOE RD,GARNER NC 27529-5161,,2468808,1710113240
OFC GROSS,1986,14252.0,201 COMMONWEALTH CT,CARY,27511,CLT VENTURES LLC ,1012 MARKET ST STE 101,FORT MILL SC 29708-6537,,2234927,0763440238
OFC GROSS,1994,14237.0,1003 HIGH HOUSE RD,CARY,27513,PRESTON PROFESSIONAL PLAZA LIMITED LIABILITY COMPA ,4012 PINEY GAP DR,CARY NC 27519-7507,,2848052,0754023329
SNGL TEN,1979,14176.0,5900 FAYETTEVILLE RD,,27603,FAYETTEVILLE ROAD PROPERTIES LLC ,1212 HOME CT,RALEIGH NC 27603-4541,,1454934,0790689754
OFC GROSS,1986,14172.0,829 PURSER DR,,27603,PN ALLEN & ASSOC LLC ,1500 SYCAMORE DR,GARNER NC 27529-4433,,1443459,1701053725
SCHOOL,2000,14145.0,3351 CARL SANDBURG CT,RALEIGH,27610,WAKE COUNTY BOARD OF EDUCATION ,FACILITIES BLDG,1551 ROCK QUARRY RD,RALEIGH NC 27610-4145,3618974,1723493484
OFC GROSS,2004,14136.0,101 PETFINDER LN,GARNER,27603,STATE OF NORTH CAROLINA ,1321 MAIL SERVICE CTR,RALEIGH NC 27699-1321,,2704534,1702009864
FLEX WHSE,1982,14130.0,521 UWHARRIE CT,RALEIGH,27606,PYLON INC ,501 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2833930,0784831744
OFC GROSS,2001,14106.0,260 TOWERVIEW CT,MORRISVILLE,27513,LIFE EXPERIENCES INC ,PO BOX 282,MORRISVILLE NC 27560-0282,,2612336,0754576203
FLEX WHSE,1999,14105.0,401 ROGERS VIEW CT,RALEIGH,27610,WITHAVIEW LLC ,1610 SAINT MARYS ST,RALEIGH NC 27608-2219,,2684332,1733272188
FLEX WHSE,2001,14104.0,1021 CORPORATION PKWY,RALEIGH,27610,IGLESIA DE DIOS PENTECOSTAL PACTO DE VIDA ETERNA ,6036 RICKER RD,RALEIGH NC 27610-4281,,1823969,1724733115
MED OFC GROSS,2005,14091.0,123 SUNNYBROOK RD,RALEIGH,27610,COLSON & COLSON LLC ,5201 GINGER TRL,RALEIGH NC 27614-9659,,2981118,1723387507
SCHOOL,1990,14071.0,600 S FRANKLIN ST,WAKE FOREST,27587,FRANKLIN ACADEMY INC THE ,C/O ROBERT L LUDDY,1912 CHALK RD,WAKE FOREST NC 27587-9164,2577137,1840585602
CHURCH,2000,14063.0,5420 SUNSET LAKE RD,HOLLY SPRINGS,27540,SUNRISE UNITED METHODIST CHURCH HOLLY SPRINGS WAKE COUNTY NC INC,PO BOX 295,HOLLY SPRINGS NC 27540-0295,,3285321,0669151494
OFC GROSS,1980,14041.0,1155 KILDAIRE FARM RD,CARY,27511,KILDAIRE FARM RD PTNR LLC ,1208 CRABTREE CROSSING PKWY,MORRISVILLE NC 27560-7560,,2174064,0763434446
FLEX WHSE,1986,14040.0,1411 DIGGS DR,RALEIGH,27603,"LAMPE, NANCY D LAMPE, JOHN H II TRUSTEE",PO BOX 1457,SMITHFIELD NC 27577-1457,,2202943,1702090888
FIRE STA,1988,14040.0,4909 WATKINS RD,,27591,WAKE NEW HOPE VOLUNTEER FIRE DEPARTMENT INC,4909 WATKINS RD,WENDELL NC 27591-8239,,1680765,1756386388
FLEX WHSE,1987,14000.0,3108 GLEN ROYAL RD,RALEIGH,27617,ARCHER NC LLC ,5317 SENDERO DR,RALEIGH NC 27612-1809,,2214455,0777569307
MULT TEN,1999,13988.0,1002 DURHAM RD,WAKE FOREST,27587,TREASURE CENTER INC ,1725 CARPENTER FLETCHER RD,DURHAM NC 27713-2280,,2459789,1831305634
MED OFC GROSS,2001,13981.0,500 HOLLY SPRINGS RD,HOLLY SPRINGS,27540,APA HOLLY SPRINGS PROPERTIES LLC ,2000 BEAR CAT WAY,MORRISVILLE NC 27560-6620,,2733917,0659131145
CHURCH,1996,13970.0,3725 KILDAIRE FARM RD,CARY,27518,EVANGELISTIC TEMPLE PENTECOSTAL HOLINESS CHURCH OF CARY INC,1800 KILDAIRE FARM RD,CARY NC 27518-6528,,3952334,0760182686
FIRE STA,1986,13967.0,420 ELM AVE,WAKE FOREST,27587,TOWN OF WAKE FOREST ,301 BROOKS ST,WAKE FOREST NC 27587-2901,,2137488,1841507081
FLEX WHSE,1993,13960.0,620 HUTTON ST,RALEIGH,27606,PYLON INC ,501 UWHARRIE CT STE E,RALEIGH NC 27606-1470,,2584099,0784822871
CHURCH,1994,13950.0,520 BUCK JONES RD,RALEIGH,27606,ALL SAINTS ANTIOCHIAN ORTHODOX CHUR ,520 BUCK JONES RD,RALEIGH NC 27606-2202,,3634047,0773971423
FLEX WHSE,1993,13904.0,115 WOODWINDS INDUSTRIAL CT,CARY,27511,MASTER PTNR LLC ,PO BOX 3661,CARY NC 27519-3661,,2269764,0753423627
OFC GROSS,1985,13902.0,3344 HILLSBOROUGH ST,RALEIGH,27607,TRILLIUMS LLC ,3108 ETON RD,RALEIGH NC 27608-1114,,3620230,0794434487
CHURCH,1997,13901.0,129 N MAIN ST,WENDELL,27591,WENDELL UNITED METHODIST CHURCH TRS ,PO BOX D,WENDELL NC 27591-0480,,2448596,1784608841
DAY CARE,1997,13880.0,3821 NW CARY PKWY,CARY,27513,BUILDERS BARGAIN CENTER OF KINSTON INC ,PO BOX E,GOLDSBORO NC 27533-9705,,3587055,0754335272
CHURCH,2004,13871.0,9121 E SIX FORKS RD,RALEIGH,27615,WINDBORNE UNITED METHODIST CHURCH ,9121 SIX FORKS RD,RALEIGH NC 27615-1924,,5587558,1708244185
CHURCH,1995,13848.0,4419 S SMITHFIELD RD,,27545,THE PASSAGE CHURCH ,PO BOX 1807,WENDELL NC 27591-1807,,1948387,1762533421
OFC GROSS,1990,13818.0,524 S NEW HOPE RD,RALEIGH,27610,KMS REAL ESTATE LLC ,524 S NEW HOPE RD,RALEIGH NC 27610-1478,,1757807,1733055558
OFC GROSS,1999,13811.0,1951 CLARK AVE,RALEIGH,27605,ONG 1951 CLARK AVE LLC ,2509 VICTORIA PARK LN,RALEIGH NC 27614-6858,,2595362,1704124137
